id,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,c_charge_desc,is_recid,num_r_cases,r_charge_degree,r_days_from_arrest,r_charge_desc,is_violent_recid,num_vr_cases,vr_charge_degree,vr_charge_desc,v_type_of_assessment,v_decile_score,v_score_text,type_of_assessment,decile_score_1,score_text
3510,Male,36,25 - 45,Caucasian,1,9,0,0,10,92,95,M,Battery,1,NA,F,0,Grand Theft in the 3rd Degree,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,9,High
3511,Male,23,Less than 25,Caucasian,0,3,0,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,3,Low
3512,Male,26,25 - 45,African-American,0,7,0,0,5,-1,1,F,arrest case no charge,1,NA,F,NA,Burglary Conveyance Assault/Bat,1,NA,(F7),Burglary Conveyance Assault/Bat,Risk of Violence,6,Medium,Risk of Recidivism,7,Medium
3513,Male,47,Greater than 45,Other,0,1,0,0,3,-1,1,F,Driving While License Revoked,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3514,Female,58,Greater than 45,Caucasian,0,9,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,9,High
3515,Male,40,25 - 45,Caucasian,0,1,0,0,4,0,1,M,Driving Under The Influence,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3516,Male,28,25 - 45,Other,0,3,0,0,1,-1,1,F,Felony Driving While Lic Suspd,1,NA,M,1,Battery,1,NA,(M1),Battery,Risk of Violence,3,Low,Risk of Recidivism,3,Low
3517,Male,49,Greater than 45,Hispanic,0,1,0,0,1,-1,1,F,Grand Theft in the 3rd Degree,1,NA,M,NA,Disorderly Intoxication,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3518,Female,19,Less than 25,African-American,0,9,0,0,0,-1,1,F,Grand Theft in the 3rd Degree,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,10,High,Risk of Recidivism,9,High
3519,Male,46,Greater than 45,African-American,0,3,0,0,8,400,353,F,arrest case no charge,1,NA,M,396,Driving License Suspended,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,3,Low
3520,Female,25,25 - 45,Caucasian,0,3,0,0,1,-1,1,M,Grand Theft in the 3rd Degree,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,3,Low
3521,Male,19,Less than 25,African-American,0,10,1,0,1,0,0,F,arrest case no charge,1,NA,M,NA,Possess Cannabis/20 Grams Or Less,0,NA,NA,NA,Risk of Violence,10,High,Risk of Recidivism,10,High
3522,Male,22,Less than 25,African-American,0,9,0,0,7,-102,102,M,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,9,High,Risk of Recidivism,9,High
3523,Male,53,Greater than 45,Caucasian,0,1,0,0,1,-12,12,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3524,Male,20,Less than 25,African-American,0,6,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,6,Medium
3525,Male,56,Greater than 45,Caucasian,0,2,0,0,5,-45,45,F,Possession of Oxycodone,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,2,Low
3526,Male,65,Greater than 45,Caucasian,0,1,0,0,1,-1,1,F,Felony Driving While Lic Suspd,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3527,Female,49,Greater than 45,Asian,0,1,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3528,Female,24,Less than 25,African-American,0,3,0,0,0,-1,1,F,Grand Theft in the 3rd Degree,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,3,Low
3529,Male,31,25 - 45,Hispanic,0,1,0,0,0,-5,5,F,Stalking (Aggravated),0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3530,Female,21,Less than 25,Hispanic,0,3,0,0,0,0,1,F,Grand Theft in the 3rd Degree,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,3,Low
3531,Female,33,25 - 45,Caucasian,0,3,0,0,2,-1,2,F,Possession of Hydromorphone,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,3,Low
3532,Male,27,25 - 45,Caucasian,0,3,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,3,Low
3533,Male,26,25 - 45,Caucasian,0,10,3,0,8,-1,1,F,Robbery / Weapon,1,NA,F,NA,Grand Theft in the 3rd Degree,1,NA,(F3),Aggravated Assault w/Firearm,Risk of Violence,7,Medium,Risk of Recidivism,10,High
3534,Male,56,Greater than 45,Caucasian,0,1,0,0,1,-65,65,M,Tamper With Witness/Victim/CI,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3535,Male,32,25 - 45,Caucasian,0,2,0,0,2,-1,1,F,Possession Of Alprazolam,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,2,Low
3536,Male,25,25 - 45,Caucasian,0,2,0,0,0,0,0,F,arrest case no charge,1,NA,F,0,Tamper With Witness/Victim/CI,1,NA,(M1),Battery,Risk of Violence,3,Low,Risk of Recidivism,2,Low
3537,Female,26,25 - 45,African-American,0,6,0,0,4,0,0,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,6,Medium
3538,Male,21,Less than 25,African-American,0,2,0,0,1,-1,1,F,Grand Theft in the 3rd Degree,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,5,Medium,Risk of Recidivism,2,Low
3539,Male,38,25 - 45,African-American,0,5,0,0,3,0,1,F,Felony Battery w/Prior Convict,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,5,Medium
3540,Male,23,Less than 25,Caucasian,0,2,0,0,0,-4,4,F,Fleeing Or Attmp Eluding A Leo,1,NA,M,0,Resist/Obstruct W/O Violence,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,2,Low
3541,Male,67,Greater than 45,African-American,0,1,0,0,4,NA,173,M,Driving License Suspended,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3542,Male,20,Less than 25,Caucasian,0,6,0,1,0,-1,1,F,arrest case no charge,1,NA,F,0,Grand Theft in the 3rd Degree,1,NA,(F1),Aid/Abet Burglary Assault/Batt,Risk of Violence,7,Medium,Risk of Recidivism,6,Medium
3543,Female,39,25 - 45,Caucasian,0,1,0,0,4,-2,2,F,Aggravated Assault W/Dead Weap,1,NA,M,1,Disorderly Conduct,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3544,Male,24,Less than 25,African-American,0,2,0,0,1,-1,1,F,Burglary Unoccupied Dwelling,1,NA,M,0,Battery,1,NA,(M1),Battery,Risk of Violence,3,Low,Risk of Recidivism,2,Low
3545,Female,45,Greater than 45,African-American,0,1,0,0,0,-1,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3546,Male,23,Less than 25,Hispanic,0,2,0,0,0,0,1,F,Agg Fleeing/Eluding High Speed,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,2,Low
3547,Male,49,Greater than 45,African-American,0,4,0,0,3,-1,1,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,4,Low
3548,Female,28,25 - 45,Caucasian,0,2,0,0,1,-229,230,F,Tampering With Physical Evidence,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,2,Low
3549,Male,34,25 - 45,African-American,0,10,0,0,8,37,200,F,Crim Conspiracy 2nd Deg Felony,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,8,High,Risk of Recidivism,10,High
3550,Male,31,25 - 45,African-American,0,7,0,0,7,-1,1,F,Poss of Firearm by Convic Felo,1,NA,F,0,Possession of Cannabis,0,NA,NA,NA,Risk of Violence,7,Medium,Risk of Recidivism,7,Medium
3551,Male,20,Less than 25,African-American,0,6,0,0,1,-26,26,F,Grand Theft in the 3rd Degree,1,NA,F,0,Grand Theft Dwell Property,0,NA,NA,NA,Risk of Violence,8,High,Risk of Recidivism,6,Medium
3552,Male,28,25 - 45,Caucasian,0,3,0,0,0,0,0,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,3,Low
3553,Female,36,25 - 45,Caucasian,0,5,0,0,3,-1,1,F,Possession of Cocaine,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,5,Medium
3554,Male,67,Greater than 45,Caucasian,0,1,0,0,3,-1,1,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3555,Male,37,25 - 45,African-American,1,8,0,0,11,-479,1,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,8,High
3556,Male,33,25 - 45,Hispanic,0,1,0,0,0,0,0,F,Aggravated Battery / Pregnant,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3557,Male,20,Less than 25,Hispanic,1,8,0,0,1,-189,189,F,arrest case no charge,1,NA,M,5,Operating W/O Valid License,0,NA,NA,NA,Risk of Violence,10,High,Risk of Recidivism,8,High
3558,Male,36,25 - 45,Hispanic,0,7,0,0,3,-1,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,7,Medium
3559,Male,54,Greater than 45,Other,0,1,0,0,2,-1,1,F,Sell Cocaine,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3560,Male,40,25 - 45,Caucasian,0,3,0,0,4,-80,72,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,3,Low
3561,Male,59,Greater than 45,Caucasian,0,9,0,0,35,-1,1,F,Burglary Structure Unoccup,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,9,High
3562,Male,52,Greater than 45,African-American,0,1,0,0,0,-1,1,F,Solicitation On Felony 3 Deg,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3563,Male,45,Greater than 45,African-American,0,7,0,0,17,-1,1,F,Felony Petit Theft,1,NA,M,NA,Petit Theft,0,NA,NA,NA,Risk of Violence,5,Medium,Risk of Recidivism,7,Medium
3564,Male,27,25 - 45,African-American,0,7,0,1,8,-1,1,F,Poss Cocaine/Intent To Del/Sel,1,NA,M,NA,Operating W/O Valid License,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,7,Medium
3565,Male,42,25 - 45,Caucasian,0,1,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3566,Male,22,Less than 25,Caucasian,0,9,0,0,1,-1,1,F,Grand Theft in the 3rd Degree,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,9,High,Risk of Recidivism,9,High
3567,Male,34,25 - 45,African-American,2,10,0,0,16,-1,1,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,8,High,Risk of Recidivism,10,High
3568,Male,36,25 - 45,Caucasian,0,7,0,0,9,-42,42,F,Driving While License Revoked,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,7,Medium
3569,Male,20,Less than 25,African-American,0,3,0,0,0,-5,5,F,Exhibition Weapon School Prop,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,3,Low
3570,Male,40,25 - 45,Caucasian,0,1,0,0,0,-1,1,M,Battery,1,NA,M,0,Giving False Crime Report,1,NA,(M1),Battery,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3571,Male,30,25 - 45,Caucasian,0,8,0,0,1,0,0,M,Expired DL More Than 6 Months,1,NA,M,0,Battery,1,NA,(M1),Battery,Risk of Violence,6,Medium,Risk of Recidivism,8,High
3572,Male,40,25 - 45,African-American,0,1,0,0,0,-1,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3573,Male,42,25 - 45,African-American,0,1,0,0,1,-1,1,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3574,Male,24,Less than 25,African-American,0,3,0,1,2,0,0,F,False Ownership Info/Pawn Item,1,NA,M,0,Operating W/O Valid License,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,3,Low
3575,Male,44,25 - 45,African-American,0,1,0,0,0,-1,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3576,Male,46,Greater than 45,Caucasian,0,2,0,0,4,-5,5,F,Video Voyeur-<24Y on Child >16,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,2,Low
3577,Male,38,25 - 45,African-American,0,3,0,0,4,0,1,F,Sell or Offer for Sale Counterfeit Goods,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,3,Low
3578,Male,39,25 - 45,Hispanic,0,1,0,0,2,-113,114,F,Crimin Mischief Damage $1000+,1,NA,M,1,Assault On Law Enforc Officer,1,NA,(M1),Assault On Law Enforc Officer,Risk of Violence,2,Low,Risk of Recidivism,1,Low
3579,Male,25,25 - 45,Caucasian,0,2,0,0,0,-3,3,F,Possession of Oxycodone,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,2,Low
3580,Male,47,Greater than 45,Caucasian,0,8,0,0,10,-240,240,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,8,High
3581,Male,26,25 - 45,Caucasian,0,5,0,0,0,-1,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,5,Medium
3582,Female,32,25 - 45,Hispanic,0,3,0,0,0,-1,1,M,Lve/Scen/Acc/Veh/Prop/Damage,1,NA,M,NA,Petit Theft,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,3,Low
3583,Male,21,Less than 25,Caucasian,0,10,0,0,0,-2,2,F,Possession Of Buprenorphine,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,9,High,Risk of Recidivism,10,High
3584,Male,26,25 - 45,Caucasian,0,5,0,0,0,-1,1,M,Grand Theft (Motor Vehicle),0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,5,Medium
3585,Male,54,Greater than 45,Caucasian,0,1,0,0,1,-1,1,M,Battery,1,NA,F,0,Grand Theft in the 3rd Degree,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3586,Male,63,Greater than 45,African-American,0,1,0,0,0,0,1,M,DUI Property Damage/Injury,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3587,Female,48,Greater than 45,Caucasian,0,1,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3588,Male,38,25 - 45,Caucasian,0,4,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,4,Low
3589,Female,24,Less than 25,African-American,0,7,0,0,0,-1,1,F,Grand Theft in the 3rd Degree,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,7,Medium
3590,Female,35,25 - 45,Caucasian,0,3,0,0,3,-11,12,F,Possession of Cocaine,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,3,Low
3591,Male,27,25 - 45,Hispanic,0,3,0,0,2,-10,10,F,Lewd/Lasc Battery Pers 12+/<16,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,3,Low
3592,Male,25,25 - 45,Hispanic,0,1,0,0,1,-1,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,1,Low
3593,Male,61,Greater than 45,Caucasian,0,4,0,0,1,0,0,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,4,Low
3594,Male,51,Greater than 45,African-American,0,4,0,0,1,-1,1,M,Possess Cannabis/20 Grams Or Less,1,NA,M,NA,Possess Cannabis/20 Grams Or Less,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,4,Low
3595,Male,26,25 - 45,African-American,0,9,0,1,3,NA,871,M,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,5,Medium,Risk of Recidivism,9,High
3596,Male,57,Greater than 45,Caucasian,0,1,0,0,0,0,1,F,Aggrav Battery w/Deadly Weapon,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3597,Male,24,Less than 25,Caucasian,0,5,0,3,3,-1,1,M,Battery,1,NA,M,0,Battery,1,NA,(M1),Battery,Risk of Violence,4,Low,Risk of Recidivism,5,Medium
3598,Male,34,25 - 45,African-American,0,1,0,0,1,-1,1,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,1,Low
3599,Female,40,25 - 45,Other,0,4,0,0,4,-22,22,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,4,Low
3600,Male,27,25 - 45,Hispanic,0,2,0,0,1,-1,1,F,Throw Missile Into Pub/Priv Dw,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,2,Low
3601,Female,28,25 - 45,African-American,0,7,0,0,10,15,36,M,Operating W/O Valid License,1,NA,F,0,Fleeing or Eluding a LEO,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,7,Medium
3602,Male,35,25 - 45,African-American,0,8,0,0,10,0,1,M,Viol Prot Injunc Repeat Viol,1,NA,F,1,Tampering With Physical Evidence,1,NA,(F3),Agg Fleeing and Eluding,Risk of Violence,3,Low,Risk of Recidivism,8,High
3603,Male,30,25 - 45,African-American,0,6,0,0,6,0,0,F,Driving While License Revoked,1,NA,M,NA,DWLS/License Susp/Revoked,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,6,Medium
3604,Male,53,Greater than 45,Other,0,5,0,0,1,733,92,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,5,Medium
3605,Male,44,25 - 45,African-American,0,1,0,0,0,-1,1,F,Robbery / No Weapon,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,1,Low
3606,Male,55,Greater than 45,Caucasian,0,1,0,0,0,-1,1,F,Poss Cocaine/Intent To Del/Sel,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3607,Male,57,Greater than 45,Caucasian,0,3,0,0,3,NA,1117,M,Posses/Disply Susp/Revk/Frd DL,1,NA,M,NA,Unlicensed Contractor,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,3,Low
3608,Male,37,25 - 45,Asian,0,2,0,0,1,-1,1,F,Driving While License Revoked,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,2,Low
3609,Male,54,Greater than 45,Caucasian,0,3,0,0,3,NA,1,F,Kidnapping / Domestic Violence,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,3,Low
3610,Male,45,Greater than 45,African-American,0,6,0,0,1,-84,1147,M,Assault,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,6,Medium
3611,Male,61,Greater than 45,Caucasian,0,6,0,0,10,-1,1,F,Burglary Conveyance Unoccup,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,5,Medium,Risk of Recidivism,6,Medium
3612,Male,27,25 - 45,African-American,0,5,0,0,7,-13,13,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,5,Medium,Risk of Recidivism,5,Medium
3613,Male,22,Less than 25,Caucasian,0,8,1,0,2,-1,1,F,Burglary With Assault/battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,8,High,Risk of Recidivism,8,High
3614,Male,26,25 - 45,African-American,0,9,0,0,1,-1,1,F,arrest case no charge,1,NA,F,0,Grand Theft in the 3rd Degree,0,NA,NA,NA,Risk of Violence,7,Medium,Risk of Recidivism,9,High
3615,Male,29,25 - 45,African-American,0,6,0,0,4,0,0,F,Grand Theft (Motor Vehicle),0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,6,Medium
3616,Male,48,Greater than 45,African-American,1,7,0,0,10,-1,1,F,Felony Driving While Lic Suspd,1,NA,M,NA,Driving License Suspended,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,7,Medium
3617,Male,42,25 - 45,African-American,0,1,0,0,4,0,2009,M,Driving License Suspended,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3618,Male,38,25 - 45,Caucasian,0,8,0,0,10,-1,1,F,Possession of Cocaine,1,NA,F,0,Possession of Cocaine,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,8,High
3619,Male,39,25 - 45,African-American,0,2,0,0,4,-32,0,F,Grand Theft in the 3rd Degree,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,2,Low
3620,Female,53,Greater than 45,Caucasian,0,1,0,0,0,-1,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3621,Male,38,25 - 45,African-American,0,2,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,2,Low
3622,Male,26,25 - 45,African-American,0,10,0,0,3,-1,1,M,Poss Of Controlled Substance,1,NA,F,0,Grand Theft in the 3rd Degree,0,NA,NA,NA,Risk of Violence,9,High,Risk of Recidivism,10,High
3623,Male,24,Less than 25,Caucasian,0,8,0,0,4,0,0,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,8,High,Risk of Recidivism,8,High
3624,Male,22,Less than 25,African-American,0,7,0,0,1,-1,1,F,Burglary Unoccupied Dwelling,1,NA,M,415,Operating W/O Valid License,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,7,Medium
3625,Male,42,25 - 45,African-American,0,1,0,0,2,0,0,F,Att Robbery Sudd Snatch No Weap,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3626,Male,50,Greater than 45,Caucasian,0,7,0,0,0,-1,1,F,Grand Theft in the 3rd Degree,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,7,Medium
3627,Male,44,25 - 45,Caucasian,3,7,0,0,16,-1,1,M,Driving Under The Influence,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,7,Medium
3628,Male,24,Less than 25,African-American,0,6,1,3,4,-1,1,F,Agg Assault W/int Com Fel Dome,1,NA,F,6,Felony Battery (Dom Strang),1,NA,(F3),Felony Battery (Dom Strang),Risk of Violence,6,Medium,Risk of Recidivism,6,Medium
3629,Male,21,Less than 25,African-American,0,7,0,0,0,-1,1,F,Grand Theft in the 3rd Degree,1,NA,F,0,Grand Theft in the 3rd Degree,0,NA,NA,NA,Risk of Violence,7,Medium,Risk of Recidivism,7,Medium
3630,Male,50,Greater than 45,Caucasian,0,1,0,0,0,0,1,F,Possession of Cocaine,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3631,Female,36,25 - 45,Caucasian,0,1,0,0,0,0,0,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3632,Male,30,25 - 45,African-American,0,6,0,0,2,NA,694,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,6,Medium
3633,Female,31,25 - 45,African-American,0,5,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,5,Medium
3634,Male,39,25 - 45,Caucasian,0,3,0,0,0,-1,1,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,3,Low
3635,Female,24,Less than 25,African-American,0,4,0,0,2,729,90,F,Crim Use Of Personal Id Info,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,4,Low,Risk of Recidivism,4,Low
3636,Female,54,Greater than 45,African-American,0,6,0,0,7,-1,1,F,Fraudulent Use of Credit Card,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,6,Medium
3637,Male,37,25 - 45,Caucasian,0,1,0,0,1,-1,1,F,Grand Theft in the 3rd Degree,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
3638,Male,28,25 - 45,African-American,0,1,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,1,Low
3639,Male,29,25 - 45,African-American,0,2,0,0,0,0,1,M,Resist Officer w/Violence,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,2,Low
3640,Male,24,Less than 25,African-American,0,7,0,0,7,49,112,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,7,Medium,Risk of Recidivism,7,Medium
3641,Male,26,25 - 45,Caucasian,0,6,0,0,0,-1,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,6,Medium
3642,Male,41,25 - 45,African-American,0,4,0,0,3,-1,1,F,Felony Driving While Lic Suspd,1,NA,M,0,Opert With Susp DL 2nd Offens,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,4,Low
3643,Male,23,Less than 25,African-American,0,6,0,0,1,-1,1,F,Grand Theft in the 3rd Degree,1,NA,M,0,Petit Theft $100- $300,0,NA,NA,NA,Risk of Violence,5,Medium,Risk of Recidivism,6,Medium
